Ticket #,Type,Open Date,Summary of the Request,Client,Status,Priority,Rank,Res. Assignee,SLA Start,Projected Violation,Change Order,Chg Ord Status,SBM Status,Violation Date,Resource Grp,Client View,Close Date,CS Group,External Ticket,Area,Resolution Code
22998,Incident,5/7/2013 12:35,CBKNAQA-3264 Reporting being unavailable or inaccurate is resulting in us not knowing our sales or what is left to ship.,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,YES,7/12/2013 14:37,CBK.TAM,,v11.GSI Store Reporting.GSI Store Reporting,
22986,Incident,5/7/2013 10:36,CBKNAQA-3238 XML Sitemap generation in SEC/ASH and disabling of job,Christopher and Banks,Closed,P3,,,5/25/2013 16:36,,,,,,v11 CBK Launch Team,NO,5/29/2013 13:34,CBK.TAM,,"v11.Webanalytics.Referrals, Searches, Sessions and Visitors",
22985,Incident,5/7/2013 10:30,CBKNAQA-3359 Customers are unable to process an order with a @q.com email address,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,6/18/2013 13:25,CBK.Client Services Ops,,v11.Order Processing Related Issues.Order Flow,
22983,Incident,5/7/2013 10:25,CBKNAQA-3294-McAfee image at bottom of page is static and not a remote include,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/24/2013 13:26,CBK.TAM,,v11.Storefront Related Issues.Client Cartridge,
22980,Incident,5/7/2013 10:18,CBKNAQA-3239 Copying images from gsi manager into a word document,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/14/2013 14:01,CBK.TAM,,v11.GSI Manager.GSI Manager,
22979,Incident,5/7/2013 10:16,CBKNAQA-3240 50% of the logged invalid URLs are from the McAfee Scans,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/16/2013 10:57,CBK.TAM,,v11.Storefront Related Issues.Client Cartridge,
22977,Incident,5/7/2013 10:12,CBKNAQA-3241 Completeness checks,Christopher and Banks,Closed,P2,33,"Chaddha, Sanjeev ",7/9/2013 15:59,,,,,7/11/2013 15:59,v11 CBK Launch Team,YES,7/16/2013 17:05,CBK.TAM,,v11.GSI Manager.GSI Manager,
22973,Incident,5/7/2013 9:48,CBKNAQA-3243 Gomez Hits - Checkout General Errors,SysOps,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/14/2013 13:28,,,v11.Storefront Related Issues.Checkout,
22971,Incident,5/7/2013 9:43,CBKNAQA-3235 Custom Fixes CF-238 and CF-239 are ready to be ingested,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/14/2013 14:53,CBK.TAM,,v11.Performance Related Issues.Gomez,
22969,Incident,5/7/2013 9:14,CBKNAQA-3244 Error Occurs when attempting to log on to GSI Store Reporting,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/17/2013 18:13,CBK.TAM,,v11.GSI Store Reporting.GSI Store Reporting,
22968,Incident,5/7/2013 9:12,CBKNAQA-3242 Performance Issue With CJBUS and CBKUS Checkout Pages,Christopher and Banks,Closed,P2,,"Yang, Jack ",,,,,,,v11 CBK Launch Team,NO,7/12/2013 13:58,CBK.TAM,,v11.Performance Related Issues.Gomez,
22966,Incident,5/7/2013 8:50,CBKNAQA-3246 FilterObjectType Query Execution,Christopher and Banks,Closed,P3,,"Greco, Thomas ",,,,,,,v11 CBK Launch Team,NO,5/9/2013 14:08,CBK.TAM,,v11.Storefront Related Issues.WebStore Navigation,
22965,Incident,5/7/2013 8:47,VPRS-14835 GetPromotionRelativeCacheTime performance is slow,Christopher and Banks,Closed,P3,,"Greco, Thomas ",5/15/2013 10:40,,,,,,v11 CBK Launch Team,NO,5/18/2013 22:44,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22964,Incident,5/7/2013 8:36,CBKNAQA-3247 Rebate Filter performance does not meet expectations,Christopher and Banks,Closed,P3,,"Greco, Thomas ",,,,,,,v11 CBK Launch Team,NO,5/9/2013 14:08,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22963,Incident,5/7/2013 8:29,CBKSNAQA-3234 GetGSIPromotionProductMapping pipelet is overly slow,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,NO,7/20/2013 20:55,CBK.TAM,,v11.Storefront Related Issues.Client Cartridge,
22953,Incident,5/6/2013 21:37,CBKNAQA-3252 CBK - Error trying to approve promo,Christopher and Banks,Closed,P2,,,5/24/2013 14:25,,,,,5/28/2013 14:25,v11 CBK Launch Team,NO,6/24/2013 10:42,CBK.TAM,,v11.GSI Manager.GSI Manager,
22948,Incident,5/6/2013 17:29,CBKNAQA-3251 DW - Promo data cleanup for 5/7 - approval needed,Christopher and Banks,Closed,P3,,,,,,,Change is Live,,v11 CBK Launch Team,NO,5/14/2013 15:18,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22944,Incident,5/6/2013 16:27,CBKNAQA-3226 AOS URLs,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/24/2013 13:26,CBK.TAM,,v11.Call Center Related Issues.AOS,
22929,Incident,5/6/2013 14:52,CBKNAQA-3223 item search does not work.,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/24/2013 13:26,CBK.TAM,,v11.Storefront Related Issues.Search,
22926,Incident,5/6/2013 14:47,CBKNAQA-3229 VPRS-15153 webstore is not charging duty on Canadian orders ,Christopher and Banks,Closed,P2,,"Jadhav, Sameer ",5/28/2013 13:45,,,,,6/19/2013 14:57,v11 CBK Launch Team,NO,7/20/2013 20:52,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22918,Incident,5/6/2013 14:20,CBKNAQA-3230 Incorrect and missing properties for Page Cacheing,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/18/2013 22:25,CBK.TAM,,v11.Storefront Related Issues.Client Cartridge,
22916,Incident,5/6/2013 14:15,CBKNAQA-2810 Promotion messaging display on Family and Product page is not ranked ordered ,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,YES,6/24/2013 10:45,CBK.TAM,,v11.Storefront Related Issues.Category,
22915,Incident,5/6/2013 14:14,CBKNAQA-3248 Buttons that can be clicked should not be gray,Christopher and Banks,Closed,P3,15,,,,,,,,v11 CBK Launch Team,YES,5/20/2013 13:37,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22912,Incident,5/6/2013 13:30,CBKNAQA-3231 Checkouts Where UserRegistrationNew Event Message was not Pubished,Christopher and Banks,Closed,P3,,"Golubev, Alexander ",,,,,,,v11 CBK Launch Team,NO,7/20/2013 20:51,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22902,Incident,5/6/2013 11:55,CBKNAQA-3236 - CBK/CJB Performance - Pipeline caching ,Christopher and Banks,Closed,P2,,"Boyd, Colin ",,,,,,,v11 CBK Launch Team,NO,6/24/2013 10:45,CBK.TAM,,v11.Performance Related Issues.Gomez,
