Ticket #,Type,Open Date,Summary of the Request,Client,Status,Priority,Rank,Res. Assignee,SLA Start,Projected Violation,Change Order,Chg Ord Status,SBM Status,Violation Date,Resource Grp,Client View,Close Date,CS Group,External Ticket,Area,Resolution Code
22680,Incident,5/2/2013 13:33,Two similar queries from the /*marketing/GetApplicablePromotionsByUser (Cartridge gsi_cbk_na_sf)*/ need to be reviewed,Christopher and Banks,Closed,P3,,"Greco, Thomas ",5/6/2013 13:35,,,,,,v11 CBK Launch Team,NO,6/27/2013 15:42,,,v11.Storefront Related Issues.Client Cartridge,
22677,Incident,5/2/2013 13:21,CBKNAQA-3189 Popup on home page needs to be disabled on AOS sites,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/7/2013 12:49,CBK.TAM,,v11.Call Center Related Issues.AOS,
22676,Incident,5/2/2013 13:20,Replication Query forcing Full Tablescan,Christopher and Banks,Closed,P3,,"Jain, Ashish ",5/15/2013 17:28,,,,,,v11 CBK Launch Team,NO,5/31/2013 9:57,,,v11.GSI Manager.Mass Data Tasks,
22673,Incident,5/2/2013 13:11,CBK and CJB Order Analysis - odd line item,Christopher and Banks,Closed,P3,14,,,,,,,,v11 CBK Launch Team,YES,6/21/2013 15:04,CBK.TAM,,v11.Reporting Related Issues.Finance,
22672,Incident,5/2/2013 13:09,AOS Register Screenshots/Issues,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/17/2013 18:14,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22671,Incident,5/2/2013 13:07,CBK/CJB Omniture `defect: Style code/Product title report,Christopher and Banks,Closed,P2,14,"McLaughlin, Michael ",7/2/2013 16:39,,,,,,v11 CBK Launch Team,YES,7/3/2013 18:14,CBK.TAM,,v11.Reporting Related Issues.Omniture,
22660,Incident,5/2/2013 11:20,Deleting old products from Webstore - this data is going to DW and is increasing ingestion time - impacting outbound feeds schedule.  ,Christopher and Banks,Closed,P2,,"Jadhav, Sameer ",,,,,,,v11 CBK Launch Team,NO,7/24/2013 11:47,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22658,Incident,5/2/2013 11:11,Outfits displaying without image,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/17/2013 18:16,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22653,Incident,5/2/2013 10:34,(OMS) VPRS-14982 Shipping Confirmation EMail has the State Incorrectly Mapped in the Bill To Section of the Email,Christopher and Banks,Closed,P3,,"Gurram, Vinay ",5/20/2013 14:53,,,,,,v11 CBK Launch Team,NO,6/17/2013 12:49,CBK.TAM,,v11.Email Related Issues.Transaction Emails,
22652,Incident,5/2/2013 10:16,(OMS) Failed settlements causing discrepancy between the Shipped Order and Partner Tender Reports,Christopher and Banks,Closed,P2,,"Gelle, Sandeep ",,,,,,,v11 CBK Launch Team,NO,5/20/2013 14:48,CBK.TAM,,v11.Finance Related Issues,
22629,Incident,5/2/2013 7:54,CBKNAQA-3182 v11 cache clear/push live causing gomez hits,Christopher and Banks,Closed,P2,,"Boyd, Colin ",5/17/2013 14:58,,,,,5/21/2013 14:57,v11 CBK Launch Team,NO,5/24/2013 11:05,CBK.TAM,,v11.Performance Related Issues.Gomez,
22623,Incident,5/2/2013 0:48,CBKNAQA-3183 Error in Customer Care after choosing Interaction reason,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/3/2013 16:04,CBK.TAM,,v11.Call Center Related Issues.GSI Customer Care,
22620,Incident,5/1/2013 21:05,CBKNAQA-3184 Excessive logging on production agent boxes,Christopher and Banks,Closed,P3,,"Gurram, Vinay ",,,,,,,v11 CBK Launch Team,NO,7/20/2013 20:11,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22619,Incident,5/1/2013 20:02,(OMS) CBKNAQA-3185 VPRS-15035 Resend Fraud UI action is not working,Christopher and Banks,Closed,P3,,"Soni, Uttam ",,,,,,,v11 CBK Launch Team,NO,6/27/2013 15:35,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22618,Incident,5/1/2013 19:01,(OMS) CBKNAQA-3179 Warehouse cancellation process getting timedout at DB level,Christopher and Banks,Closed,P3,,"Gurram, Vinay ",,,,,,,v11 CBK Launch Team,NO,6/27/2013 15:31,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22614,Incident,5/1/2013 17:10,CBKNAQA-3377 Stuck Threads Consuming pinning one of the CPU cores,Christopher and Banks,Closed,P3,,"Sokolov, Stanislav ",,,,,,,v11 CBK Launch Team,NO,6/14/2013 13:30,,,v11.Performance Related Issues.Indicative Alerts,
22613,Incident,5/1/2013 17:05,CBKNAQA-3169 CJB: Visual Merchandising no longer working,Christopher and Banks,Closed,P2,,"Chaddha, Sanjeev ",5/6/2013 13:39,,,,,5/8/2013 13:39,v11 CBK Launch Team,NO,6/24/2013 10:46,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22612,Incident,5/1/2013 17:00,CBKNAQA-3168 - Talend Custom code to populate CUST_EXT_DIM from V9 is pussing duplicates,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/7/2013 12:49,CBK.TAM,,v11.Data Migration,
22610,Request,5/1/2013 16:50,CBKNAQA-3166  - Inbound Epicor Feed to the DW has performance issues causing failure,Christopher and Banks,Closed,P1,,,,,,,,,v11 CBK Launch Team,NO,5/3/2013 10:38,CBK.TAM,,v11.Data Migration,
22597,Incident,5/1/2013 15:45,CBKNAQA-3186 Item unable to add to cart on webstore (Every Occasion Dress Dot print CBK),Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/24/2013 13:24,CBK.TAM,,v11.Storefront Related Issues.WebStore Navigation,
22593,Incident,5/1/2013 15:39,(OMS) CBKNAQA-3170 Fraud response failing with DB lock timeout errors,Christopher and Banks,Closed,P3,,"Soni, Uttam ",,,,,,,v11 CBK Launch Team,NO,5/7/2013 12:08,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22586,Incident,5/1/2013 15:26,CBKNAQA-3171 Trueffect JSPath is incorrect in GSI Manager,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/18/2013 19:55,CBK.TAM,,v11.GSI Manager.GSI Manager,
22583,Incident,5/1/2013 15:10,CBKNAQA-3172 Friendship rewards errror - Same customer shows up for all accounts,Christopher and Banks,Closed,P1,,"Jadhav, Sameer ",5/1/2013 16:31,,,,,5/2/2013 16:31,v11 CBK Launch Team,NO,5/3/2013 9:26,CBK.TAM,,v11.Storefront Related Issues.MyAccount,
22580,Incident,5/1/2013 14:34,CBKNAQA-3167 CBKNAQA-3164 Please trigger in-stock events for these skus,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/2/2013 16:07,CBK.TAM,,v11.Inventory Related Issues.IAS,
22578,Incident,5/1/2013 14:14,CBKNAQA-3173 Kenshoo Pixel not firing correctly,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/18/2013 19:42,CBK.TAM,,v11.3rd Party Related Issues.Kenshoo,
22565,Incident,5/1/2013 13:18,CBKNAQA-3149 DW Order Job failed in Production today. This was due to a Talend Product bug. Jira - Ref CIQ 22552,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/18/2013 19:33,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22563,Request,5/1/2013 13:01,Product coming to warehouse WMS as wrong intory type,Sheperdsville,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/3/2013 17:18,,,v11.Fulfillment Related Issues.Reverse Logisitics,
22562,Incident,5/1/2013 13:01,CBKNAQA-3175 Internal Campaign Performance Report- CBK Analytics,Christopher and Banks,Closed,P3,,"Peri, Satish ",5/24/2013 12:07,,,,,6/14/2013 12:06,v11 CBK Launch Team,NO,7/12/2013 10:24,CBK.TAM,,v11.Webanalytics.Geographic Performance,
22559,Incident,5/1/2013 12:46,CBKNAQA-3176 30% Off Skirts & Cardigans not applying for CJB in Customer Care,CS Clothing,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/3/2013 10:44,Clothing.Client Services Ops,,v11.Call Center Related Issues.CSR Webstore,
22558,Incident,5/1/2013 12:41,CBKNAQA-3177 CBK/CJB  - Gift card issue for Clearsaleing,Christopher and Banks,Closed,P2,,"McLaughlin, Michael ",5/1/2013 20:36,,,,,5/3/2013 20:34,v11 CBK Launch Team,NO,5/7/2013 11:01,CBK.TAM,,v11.3rd Party Related Issues.ClearSaleing,
22555,Incident,5/1/2013 12:34,CBKNAQA-3160 Clearsaleing Pixel not firing,Christopher and Banks,Closed,P3,,"Pykhtin, Alexander ",,,,,,,v11 CBK Launch Team,NO,5/18/2013 19:27,CBK.TAM,,v11.3rd Party Related Issues.ClearSaleing,
22552,Incident,5/1/2013 12:21,CBKNAQA-3149 DW Order Job  failed in Production today. This was due to a Talend Product bug.,Christopher and Banks,Closed,P3,,,,,,,Change is Live,,v11 CBK Launch Team,NO,5/18/2013 19:25,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22551,Incident,5/1/2013 12:18,(OMS) CBKNAQA-3178 OMS Reship w/Return not Creating Return,Christopher and Banks,Closed,P3,,"Soni, Uttam ",5/4/2013 13:41,,,,,5/25/2013 13:40,v11 CBK Launch Team,NO,6/14/2013 14:20,Clothing.Client Services Ops,,v11.Order Processing Related Issues.Order Flow,
22540,Incident,5/1/2013 11:41,CBKNAQA-3161 Sitemap XML for CBK/CJB in production.,Christopher and Banks,Closed,P1,,"Vibhuti, Surabhi ",5/1/2013 13:00,,,,,5/2/2013 12:59,v11 CBK Launch Team,NO,5/7/2013 12:34,CBK.TAM,,"v11.Webanalytics.Referrals, Searches, Sessions and Visitors",
22533,Incident,5/1/2013 10:54,(OMS) CBKNAQA-3186 CS cannot update the order header or order line level shipping address on reships.,CS Clothing,Closed,P3,,"Felix, Chris ",5/4/2013 13:40,,,,,5/25/2013 13:39,v11 CBK Launch Team,NO,7/12/2013 10:43,Clothing.Client Services Ops,,v11.Order Processing Related Issues.Order Flow,
22530,Incident,5/1/2013 10:44,RESOLVED - Opening for Traceability.   Paid Search 'Christopher and Banks' result,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/18/2013 15:43,CBK.TAM,,"v11.Webanalytics.Referrals, Searches, Sessions and Visitors",
22528,Incident,5/1/2013 10:39,CBKNAQA-3150 Orders are stuck in scheduled in OMS,Christopher and Banks,Closed,P1,,,,,,,,,v11 CBK Launch Team,NO,5/2/2013 15:21,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22527,Incident,5/1/2013 10:35,CBKNAQA-3153 V11 Store Reporting - Custom Report - Fulfiller Aging Not Updating,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/24/2013 13:22,CBK.TAM,,v11.GSI Store Reporting.GSI Store Reporting,
22523,Incident,5/1/2013 10:02,CBKNAQA-3154 Shipment confirmation sent incorrectly to OMS for order# 100000090543 at 05/01/2013 01:32:30 GMT,Christopher and Banks,Closed,P3,,,,,,,QA Passed,,v11 CBK Launch Team,NO,5/18/2013 15:39,CBK.TAM,,v11.Sterling Integrator Issues.Fufillment Hub,
22522,Incident,5/1/2013 9:49,CBKNAQA-3155 There is no sales data in Pentaho for either CBK and CJB since 4/27/2013.,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,YES,6/13/2013 12:10,CBK.TAM,,v11.GSI Store Reporting.GSI Store Reporting,
22519,Incident,5/1/2013 9:05,"CBKNAQA-3156 Webstore is sometimes sending payment tokens for credit cards as ""n/a"".  These ordes will be cancelled as they can't be processed",Christopher and Banks,Closed,P1,,"Belz, Robert ",5/13/2013 8:42,,,,,,v11 CBK Launch Team,NO,6/24/2013 10:37,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22518,Incident,5/1/2013 9:00,CBKNAQA-3157 Loyalty Promos are not loading properly,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/24/2013 13:21,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22517,Incident,5/1/2013 8:55,(OMS) CBKNAQA-3151 GL out of Balance - Missing Master Invoices,Christopher and Banks,Closed,P3,,"Gelle, Sandeep ",5/1/2013 9:54,,,,,,v11 CBK Launch Team,NO,5/7/2013 12:09,CBK.TAM,,v11.Finance Related Issues,
22516,Incident,5/1/2013 8:30,CBKNAQA-3140 Webstore does not appear to always call the TenderTypeLookupRequest before calling PLCCAuthRequest; They Are calling PLCCAuthRequest with invlaid PANs which would be caught if the TTL request were being used,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,NO,6/24/2013 10:46,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22511,Incident,5/1/2013 5:57,CBKNAQA-3142 CBKNAQA-3139 Images wrong on all family pages,Christopher and Banks,Closed,P1,,"Jadhav, Sameer ",5/1/2013 12:57,,,,,,v11 CBK Launch Team,NO,5/2/2013 10:27,CBK.TAM,,v11.Storefront Related Issues.Category,
22504,Incident,4/30/2013 20:23,CBKNAQA-3144 CBK and Scanalert,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,NO,5/22/2013 9:52,CBK.TAM,,v11.Operations Related Issues.Operations,
22499,Incident,4/30/2013 17:11,CBKNAQA-3145 Product is not cartable,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/7/2013 12:09,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22495,Incident,4/30/2013 16:29,Expand Character Limit For Price Adjustment Reason Text in OMS,CS Clothing,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/15/2013 12:18,Clothing.Client Services Ops,,v11.Call Center Related Issues.GSI Customer Care,
22475,Incident,4/30/2013 14:25,CBKNAQA-3146 Missing place to enter Friendship Rewards certificate for discount on payment page,Christopher and Banks,Closed,P3,43,"Jadhav, Sameer ",,,,,,,v11 CBK Launch Team,YES,5/30/2013 9:39,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22470,Incident,4/30/2013 13:25,CBKNAQA-3134 Size issue in GSI Manager,Christopher and Banks,Closed,P3,,"Fulop, Alexander ",,,,,,,v11 CBK Launch Team,YES,5/3/2013 16:33,CBK.TAM,,v11.GSI Manager.Channel Catalog,
22464,Incident,4/30/2013 12:25,CBKNAQA-3129 Checkout Error due to Arithmetic Exception ,Christopher and Banks,Closed,P1,,"Jadhav, Sameer ",5/1/2013 12:58,,,,,5/2/2013 12:58,v11 CBK Launch Team,NO,5/2/2013 15:22,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22442,Incident,4/30/2013 10:37,CBKNAQA-3127 Vanity URL issues,Christopher and Banks,Closed,P3,14,"Boyd, Colin ",,,,,,,v11 CBK Launch Team,YES,7/25/2013 9:17,CBK.TAM,,v11.Storefront Related Issues.WebStore Navigation,
22441,Incident,4/30/2013 10:33,"(OMS) CBKNAQA-3128 ""Payment Type not set up for seller"" for VGC order placed to OMS ",Christopher and Banks,Closed,P3,,"Soni, Uttam ",,,,,,,v11 CBK Launch Team,NO,5/24/2013 13:11,CBK.TAM,,v11.Payment Related Issues.Gift Cards,
22439,Incident,4/30/2013 10:31,CBKNAQA-3126 Customer reporting blue GSI branded error screen in checkout (CBK),Christopher and Banks,Closed,P2,,"Jadhav, Sameer ",5/1/2013 11:49,,,,,,v11 CBK Launch Team,NO,5/2/2013 17:02,,,v11.Storefront Related Issues.Checkout,
22436,Incident,4/30/2013 10:21,"CBKNAQA-3122 On CBK or CJB home page, click on CMS spot. URL in lower left contains ""GSI"" in the string. This should not be there.",Christopher and Banks,Closed,P2,,"Jadhav, Sameer ",5/1/2013 12:56,,,,,5/3/2013 12:55,v11 CBK Launch Team,NO,5/24/2013 11:05,CBK.TAM,,v11.Storefront Related Issues.Homepage,
22435,Incident,4/30/2013 10:13,CBKNAQA-3138 - AOS links not redirecting to AOS v11 site,Christopher and Banks,Closed,P2,,"Jadhav, Sameer ",5/2/2013 17:06,,,,,,v11 CBK Launch Team,YES,5/6/2013 10:19,CBK.TAM,,v11.GSI Manager.Channel Apps,
22429,Incident,4/30/2013 9:21,CBKNAQA-3124 Certain links on CBK/CJB homepage drop out of CSR Contest,Christopher and Banks,Closed,P3,,"Jadhav, Sameer ",,,,,,,v11 CBK Launch Team,NO,6/27/2013 15:48,CBK.TAM,,v11.Call Center Related Issues.CSR Webstore,
22416,Incident,4/30/2013 5:10,CBKNAQA-3118 No Email are sent from SEC DC - Email Servervice in SEC is pointing to TST Edialog. Needs to change to point to production E-Dialog,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,NO,5/2/2013 17:27,CBK.TAM,,v11.Email Related Issues.Transaction Emails,
22411,Incident,4/30/2013 4:16,CBKNAQA-3114 PowerReviews Icons not displaying on page 1 of reviews on Product Page,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/16/2013 15:02,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22403,Incident,4/30/2013 3:08,CBKNAQA-3112 - Favicon Browser top bar (tab) (fix dependant upon Build schedule),Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,6/28/2013 14:27,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22402,Incident,4/30/2013 3:03,"CBKNAQA-3111 On email signup popup, clicked on ""privacy policy"" link, but it showed ""customer service"" page. (There is separate page for privacy policy)",Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,7/19/2013 21:00,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22401,Incident,4/30/2013 2:59,"CBKNAQA-3110 On CJB search result page, promotion banner comes in chrome, not in IE. And promotion banner is not click-able.",Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/16/2013 15:07,CBK.TAM,,v11.Storefront Related Issues.Search,
22400,Incident,4/30/2013 2:56,"CBKNAQA-3116 Gift wrap fields labeled ""Gift Wrap Line 1"" and ""Gift Wrap Line 2"" instead of ""To:"" and ""From:""",Christopher and Banks,Closed,P3,14,,,,,,,,v11 CBK Launch Team,NO,5/20/2013 15:34,,,v11.Storefront Related Issues.Checkout,
22398,Incident,4/30/2013 2:54,"CBKNAQA-3109 CBK only. Searched for ""help"" / ""customer service"" showed did u mean, instead of taking to help page",Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/16/2013 15:03,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22397,Incident,4/30/2013 2:50,"CBKNAQA-3107 CBK only: Parametric filter has some filters listed ""TWICE"". For example in size, L is listed twice, when searched for skirts",Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,4/30/2013 14:20,CBK.TAM,,v11.Storefront Related Issues.Search,
22396,Incident,4/30/2013 2:44,"CBKNAQA-3108 Periodic General Error when clicking on Order Details, under Order History ",Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/16/2013 14:41,CBK.TAM,,v11.Storefront Related Issues.WebStore Navigation,
22395,Incident,4/30/2013 2:32,CBKNAQA-3115 Gift wrap image is not appearing on Shipping & Gifting page,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,4/30/2013 14:18,,,v11.Storefront Related Issues.Checkout,
22393,Incident,4/30/2013 2:27,CBKNAQA-3106 Epicor User Preference “Profession” is not being saved,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/16/2013 17:11,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22390,Incident,4/30/2013 2:15,CBKNAQA-3105 Recently viewed only displays image of first product,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/9/2013 14:54,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22389,Incident,4/30/2013 1:40,CBKNAQA-3104 Bizrate is not set up in V11,Christopher and Banks,Closed,P3,,"Jadhav, Sameer ",,,,,,,v11 CBK Launch Team,NO,5/24/2013 11:21,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22387,Incident,4/29/2013 23:56,CBKNAQA-3103 Text overflows text area,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/9/2013 14:55,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22379,Incident,4/29/2013 19:13,CBKNAQA-3096 No color-no size-no description-not cartable,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,4/30/2013 9:27,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22376,Incident,4/29/2013 17:37,CBKNAQA-3097 Can't change payment type in the cart if saved default is PLCC,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/16/2013 15:07,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22374,Incident,4/29/2013 17:04,CBKNAQA-3099 Issues with Outfits,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/16/2013 14:57,CBK.TAM,,v11.Storefront Related Issues.Category,
22373,Incident,4/29/2013 16:57,CBKNAQA-3101 Are abandoned cart e-mail reminders set up for v11? ,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/16/2013 14:56,CBK.TAM,,v11.Email Related Issues.Transaction Emails,
22371,Incident,4/29/2013 16:49,"CBKNAQA-3102 Cowl neck dress-cancelled for no inventory, but still up on site available to be ordered. ",Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/16/2013 14:56,CBK.TAM,,v11.Inventory Related Issues.IAS,
22349,Incident,4/29/2013 13:16,CBKNAQA-3095 All of Return stations are locked up in the DC,Sheperdsville,Closed,P1,,"Thota, Rajashekar ",,,,,,,v11 CBK Launch Team,NO,5/3/2013 10:32,,,v11.Fulfillment Related Issues.Operations,
22338,Incident,4/29/2013 10:46,CBKNAQA-3094 Duplicate colors appearing on product,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,6/5/2013 17:18,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22327,Incident,4/29/2013 9:22,CBKNAQA-3087 3087Performance in CSR Webstore is slow,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/17/2013 16:57,CBK.TAM,,v11.Performance Related Issues.Gomez,
22326,Incident,4/29/2013 9:12,CBKNAQA-3092 recently viewed not showing the images,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/9/2013 14:43,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22323,Incident,4/29/2013 8:57,CBKNAQA-3094 Images appearing as silhouette or with black boxes,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/9/2013 14:40,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22316,Incident,4/28/2013 16:39,"CBKNAQA-3075 Color swatches on a product page, you see the color number, not the color name. We need to see the color name. ",Christopher and Banks,Closed,P3,15,,,,,,,,v11 CBK Launch Team,YES,5/30/2013 10:09,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22315,Incident,4/28/2013 16:24,CBKNAQA-3074 No e-mails received related to e-gift cards,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,4/30/2013 9:28,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22314,Incident,4/28/2013 16:20,CBKNAQA-3072 Order number doesn't appear on the receipt page,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,4/30/2013 9:29,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22313,Incident,4/28/2013 16:18,CBKNAQA-3073 Two of the items in my cart are out of stock,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,YES,5/29/2013 14:15,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22311,Incident,4/28/2013 15:32,CBKNAQA-3071 Stuck on shipping page.,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/16/2013 14:58,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22310,Incident,4/28/2013 14:55,CBKNAQA-3065 Pin-It images broken,Christopher and Banks,Closed,P3,38,"Golubev, Alexander ",7/11/2013 11:20,,,,,,v11 CBK Launch Team,YES,7/19/2013 16:29,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22309,Incident,4/28/2013 14:06,CBKNAQA-3064 Alt-images missing from v11,Christopher and Banks,Closed,P2,,"Boyd, Colin ",5/6/2013 19:28,,,,,5/8/2013 21:10,v11 CBK Launch Team,YES,5/17/2013 22:40,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22308,Incident,4/28/2013 14:00,CBKNAQA-3066 Gift cards should be listed under outfits and more and GSI manager would tell you they are but it is not visible on the site.,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,4/30/2013 9:30,CBK.TAM,,v11.Storefront Related Issues.Category,
22307,Incident,4/28/2013 13:47,CBKNAQA-3067 Colors not showing correctly in Clearance,Christopher and Banks,Closed,P3,15,,,,,,,,v11 CBK Launch Team,YES,5/24/2013 11:18,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22306,Incident,4/28/2013 13:37,CBKNAQA-3068 Item in Clearance shows all color swatches when only one color is in stock,Christopher and Banks,Closed,P3,15,,,,,,,,v11 CBK Launch Team,YES,5/20/2013 16:59,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22292,Incident,4/27/2013 18:08,(OMS) INFRA-5019  INFRA-5025 Running Database update scripts in ashprdomsdb01.us.gspt.net /ashprdomsdb02.us.gspt.net ,Christopher and Banks,Closed,P2,,"Thota, Rajashekar ",,,,,,,v11 CBK Launch Team,NO,5/9/2013 14:22,CBK.TAM,,v11.Order Processing Related Issues.Orders Delayed/Missing,
22291,Incident,4/27/2013 17:16,CBKNAQA-3058   Channel Advisor - MerchantCategory is not populated for variation SKU,Christopher and Banks,Closed,P1,,,,,,,,,v11 CBK Launch Team,NO,4/29/2013 17:16,CBK.TAM,,v11.Feeds Related Issues.Marketing Feeds,
22275,Incident,4/26/2013 19:20,CBKNAQA-3052 CBK Order Ack CR (commit delivery date to Sal is 5/30/13),Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,7/24/2013 11:32,CBK.TAM,,v11.Email Related Issues.Transaction Emails,
22274,Incident,4/26/2013 19:14,(OMS) CBKNAQA-3051 OMS is not allowing updates the order release confirmation status if the update is received after the OMS has shipped or cancelled the order. ,Christopher and Banks,Closed,P3,,,5/14/2013 15:48,,,,,,v11 CBK Launch Team,NO,5/17/2013 17:41,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22269,Incident,4/26/2013 16:51,CBKNAQA-3069 Promo Details showing multiple times,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/16/2013 15:00,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22263,Incident,4/26/2013 16:07,CBKNAQA-3070 nDuplicate Colors are showing for products,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/24/2013 12:11,CBK.TAM,,v11.Storefront Related Issues.Category,
22262,Incident,4/26/2013 15:51,CBKNAQA-3061 Thumbnail Images are not displaying images of the product,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,7/19/2013 21:01,CBK.TAM,,v11.GSI Manager.GSI Manager,
22255,Incident,4/26/2013 15:12,CBKNAQA-3050 Customer service has lost the capability to create a replacement orde,Christopher and Banks,Closed,P3,,"Freeze, Stephanie ",,,,,,,v11 CBK Launch Team,NO,5/17/2013 17:33,CBK.TAM,,v11.Call Center Related Issues.GSI Customer Care,
