Aris,App.Name,Region,Geographical.Region,Client.Countries,Bus.Area,Functional.Group,Remedy.Support.Queue,Service.entitlement,App.Size,Average.Monthly.Ticket.Volume.Incidents,Average.Monthly.Ticket.Volume..P1,Average.Monthly.Ticket.Volume.P2,Average.Monthly.Ticket.Volume.P3,Average.Monthly.Ticket.Volume.P4,Average.Monthly.Ticket.Volume.Problems,Average.Monthly.Ticket.Volume.CRs,Approx.Number.of.Users,Application.Complexity,Ease.of.Transition,Platform.OS.Type,Database.Type,Comments,Average.MOnthly.Ticket.Volume.Incidents,App.Score,groups
EU-1023,PLATNIK EU-1023,Europe,Europe,Poland,Manage People,Corporate Functions,CEEMA Poland Applications,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,Windows Server,Microsoft SQL Server 20008.00.2039,Based on tickets asssigned to queue divided by no of apps in queue,1,4.48E-05,4
EU-1126,EAN 128 EU-1126,Europe,Europe,Portugal,Material to Inventory,Integrated Supply Chain,KFE Iberia MTI Appl Support,Silver,small,1,NA,NA,1,NA,1,,5,Low,,,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,2.24E-05,5
EU-1132,FREEWEIGH.NET EU-1132,Europe,Europe,Spain,Material to Inventory,Integrated Supply Chain,KFE Iberia MTI Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,,Already retired according to ARIS,1,4.48E-06,4
EU-1159,PRENOTAZIONE BENI AZIENDALI EU-1159,Europe,Europe,Italy,Manage People,Corporate Functions,KFE Italy PTC Supply Chain Appl Support,Bronze,medium,1,NA,NA,1,NA,1,,800,Low,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.003582448,4
EU-1177,VENDITA INTERNA EU-1177,Europe,Europe,Italy,Manage People,Corporate Functions,KFE Italy PTC Supply Chain Appl Support,Bronze,small,1,NA,NA,1,NA,1,,400,Low,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.001791224,4
EU-1179,ZEIT EU-1179,Europe,Europe,Portugal,Manage People,Corporate Functions,KFE Iberia MTI Appl Support,Silver,small,1,NA,NA,1,NA,1,,4,Low,,Windows Server,SQL Server 9.00.5057.00,Based on tickets asssigned to queue divided by no of apps in queue,1,1.79E-05,5
EU-1181,ABSOLUTE DATA EU-1181,Europe,Europe,Belgium,Sell to Customer,Front Office,KFE Benelux STC Sales Appl Support,Bronze,small,1,NA,NA,1,NA,1,,25,Low,,Windows Server,SQL Server 2003,Calculated from avg Bronze apps in region,1,0.000111951,4
EU-1187,ALCHEMY EU-1187,Europe,Europe,Spain,Plan to Cash,Integrated Supply Chain,KFE Iberia PTC Supply Chain Appl Support,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,"Desktop
",N/A,Calculated from avg Bronze apps in region,1,4.48E-05,4
EU-1194,ASM EU-1194,Europe,Europe,Spain,Source to Pay,Integrated Supply Chain,KFE Iberia MTI Appl Support,Silver,small,1,NA,NA,1,NA,1,,5,Low,,Windows Server,Microsoft SQL Server 2000 8.00.2055,Based on tickets asssigned to queue divided by no of apps in queue,1,2.24E-05,5
EU-1205,CALITEL 5.4 EU-1205,Europe,Europe,Spain,Material to Inventory,Integrated Supply Chain,KFE Iberia MTI Appl Support,Bronze,small,1,NA,NA,1,NA,1,,78,Low,,Windows Server,Microsoft SQL Server 2000 8.00.2055,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000349289,4
EU-1253,ELIOT EU-1253,Europe,Europe,France,Manage People,Corporate Functions,KFE France HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,25,Low,,Windows Server,SQL 2005,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000111951,4
EU-1254,EMCAT TVC (PREVAS) EU-1254,Europe,Europe,Sweden,Plan to Cash,Integrated Supply Chain,KFE Nordic PTC Supply Chain Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-1256,ESSBASE EU-1256,Europe,Europe,Germany,Record to Report,Corporate Functions,KFE Germany Appl Support,Silver,small,1,NA,NA,1,NA,1,,200,Low,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000895612,5
EU-1260,EVALOS EU-1260,Europe,Europe,Spain,Manage People,Corporate Functions,KFE Iberia MTI Appl Support,Silver,small,1,NA,NA,1,NA,1,,8,Low,,Windows Server,Microsoft SQL Server 2000 8.00.2055,Based on tickets asssigned to queue divided by no of apps in queue,1,3.58E-05,5
EU-1287,HOLIDAY REQUEST (RFL) EU-1287,Europe,Europe,"Netherlands, Belgium",Manage People,Corporate Functions,KFE Benelux HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,300,Low,,Windows Server,SQL Server 2003,Calculated from avg Bronze apps in region,1,0.001343418,4
EU-1289,ID WORKS EU-1289,Europe,Europe,"Norway, Denmark, Sweden",Manage People,Corporate Functions,KFE Nordic HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,12,Low,,Windows Server,SQL Server 10.00.5500.0,Calculated from avg Bronze apps in region,1,5.37E-05,4
EU-1318,TECHNICAL SHEET GENERATOR EU-1318,Europe,Europe,Belgium,Plan to Cash,Integrated Supply Chain,KFE Benelux STC Sales Appl Support,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,Windows Server,SQL Server 2003,Calculated from avg Bronze apps in region,1,4.48E-05,4
EU-1362,PRASA EU-1362,Europe,Europe,Switzerland,Manage People,Corporate Functions,KFE Germany Appl Support (Infosys),Bronze,small,1,NA,NA,1,NA,1,,3,Low,,Windows Server,Oracle 9.2.0.7,Calculated from avg Bronze apps in region,1,1.34E-05,4
EU-1367,PRODUCTION DB EU-1367,Europe,Europe,Switzerland,Material to Inventory,Integrated Supply Chain,KFE Switzerland MTI Appl Support,Bronze,small,1,NA,NA,1,NA,1,,50,Low,,,N/A,Calculated from avg Bronze apps in region,1,0.000223903,4
EU-1369,PROMETHEUS EU-1369,Europe,Europe,Germany,Material to Inventory,Integrated Supply Chain,KFE Germany Manufacturing Appl Support,Bronze,small,1,NA,NA,1,NA,1,,30,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,0.000134342,4
EU-1402,SIRIO PROMO EU-1402,Europe,Europe,Italy,Sell to Customer,Front Office,KFE Italy STC Sales Appl Support,Silver,small,1,NA,NA,1,NA,1,,250,Low,,,,Based on Remedy 3 month data,1,0.001119515,5
EU-1420,V2K BILVEKTSYSTEM EU-1420,Europe,Europe,Norway,Material to Inventory,Integrated Supply Chain,KFE Nordic Manufacturing Appl Support,Silver,small,1,NA,NA,1,NA,1,,2,Low,,,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,8.96E-06,5
EU-1444,TAXSPOOLER SERVER EU-1444,Europe,Europe,Greece,Record to Report,Corporate Functions,KFE Greece RTR Finance Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-1537,E-SIAS EU-1537,Europe,Europe,,Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-1540,POS EU-1540,Europe,Europe,Austria,Sell to Customer,Front Office,KFE Germany Appl Support,Silver,small,1,NA,NA,1,NA,1,,1,Low,,,,Based on tickets asssigned to queue divided by no of apps in queue,1,4.48E-06,5
EU-1542,CAPEPACK EU-1542,Europe,Europe,Greece,Product Lifecycle Management,Integrated Supply Chain,KFE Greece Manufacturing Appl Support,Bronze,small,1,NA,NA,1,NA,1,,3,Low,,"Desktop
",Desktop - Windows 7,Based on local knowledge due to not being recorded in remedy,1,1.34E-05,4
EU-1567,CAPEPACK EU-1567,Europe,Europe,Spain,Product Lifecycle Management,Integrated Supply Chain,KFE Iberia STC Sales Appl Support,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,,N/A,Based on local knowledge due to not being recorded in remedy,1,4.48E-05,4
EU-1580,CONTROL VISION EU-1580,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France Plants Engineering Appl Support,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,"Desktop
","Desktop - Windows 7
",Calculated from avg Bronze apps in region,1,8.96E-06,4
EU-1581,"ECODIAL V3,3 EU-1581",Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France Plants Engineering Appl Support,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,8.96E-06,4
EU-1582,"ECODIAL V3,37 EU-1582",Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France Plants Engineering Appl Support,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,8.96E-06,4
EU-1583,SECard EU-1583,Europe,Europe,France,Corporate Services,Corporate Functions,KFE France HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,"Desktop
","Desktop - Windows 7
",Based on tickets asssigned to queue divided by no of apps in queue,1,8.96E-06,4
EU-1590,HABILEC EU-1590,Europe,Europe,France,Manage People,Corporate Functions,KFE France HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,70,Low,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000313464,4
EU-1591,HID EU-1591,Europe,Europe,France,Manage People,Corporate Functions,KFE France HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,"Desktop
",Desktop - Windows 7,Based on tickets asssigned to queue divided by no of apps in queue,1,4.48E-06,4
EU-1599,NFC 15-100 EU-1599,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France Plants Engineering Appl Support,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,8.96E-06,4
EU-1600,PACKELEC EU-1600,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France Plants Engineering Appl Support,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,8.96E-06,4
EU-1606,SSE PRÉSENTS SUR LE SITE EU-1606,Europe,Europe,France,Manage People,Corporate Functions,KFE France HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,19,Low,,Unix ,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,8.51E-05,4
EU-1608,SUIVI_AUDITS EU-1608,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Bronze,small,1,NA,NA,1,NA,1,,30,Low,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000134342,4
EU-1614,CCPORTAL EU-1614,Europe,Europe,Germany,Market to Consumer,Front Office,KFE Germany Appl Support (Infosys),Bronze,small,1,NA,NA,1,NA,1,,20,Low,,Windows Server,Oracle 9.2.06,Calculated from avg Bronze apps in region,1,8.96E-05,4
EU-1617,ASSOCIATION DATABASE EU-1617,Europe,Europe,,Corporate Services,Corporate Functions,KFE Germany Appl Support (Infosys),Bronze,small,1,NA,NA,1,NA,1,,5,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,2.24E-05,4
EU-1623,FACTLIB EU-1623,Europe,Europe,,Corporate Services,Corporate Functions,KFE Germany Appl Support (Infosys),Bronze,small,1,NA,NA,1,NA,1,,10,Low,,,,Calculated from avg Bronze apps in region,1,4.48E-05,4
EU-1687,WEB-APPS MISC EU-1687,Europe,Europe,Germany,Collaboration and Content Services,CTO,KFE Germany Appl Support (Infosys),Bronze,small,1,NA,NA,1,NA,1,,20,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,8.96E-05,4
EU-1693,COSWIN EU-1693,Europe,Europe,Belgium,Material to Inventory,Integrated Supply Chain,KFE Benelux MTI Appl Support,Bronze,small,1,NA,NA,1,NA,1,,200,Low,,,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000895612,4
EU-1696,ET WEB EU-1696,Europe,Europe,"Belgium, Netherlands",Manage People,Corporate Functions,KFE Benelux HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,200,Low,,,N/A,Calculated from avg Bronze apps in region,1,0.000895612,4
EU-1765,DIAMS EU-1765,Europe,Europe,France,Corporate Services,Corporate Functions,KFE France RTR Finance Appl Support,Bronze,small,1,NA,NA,1,NA,1,,5,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,2.24E-05,4
EU-1808,EYEQUESTION EU-1808,Europe,Europe,Belgium,Product Lifecycle Management,Integrated Supply Chain,KFE Benelux MTI Appl Support,Bronze,small,1,NA,NA,1,NA,1,,25,Low,,,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000111951,4
EU-1882,RELIABILITY CENTRED MAINT EU-1882,EEMEA,EEMEA,Kenya,Material to Inventory,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,NA,,2,Low,,"Desktop
",Desktop - Windows 7,,1,8.96E-06,4
EU-2048,MIKADO - CEEMA - HTR EU-2048,EEMEA,EEMEA,Turkey,Manage People,Corporate Functions,CEEMA Turkey Applications,Bronze,small,1,NA,NA,1,NA,NA,,4,Low,,Windows Server,Firebird 0.2.0.34,,1,1.79E-05,2
EU-2089,BULK PRINTING VIA ITNET EU-2089,Europe,Europe,"United Kingdom, Ireland",Plan to Cash,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2108,RISK (ACCESS DB) EU-2108,Europe,Europe,Spain,Material to Inventory,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,4,Low,,,N/A,Calculated from avg Bronze apps in region,1,1.79E-05,4
EU-2117,LVISION (WMS) EU-2117,Europe,Europe,Greece,Plan to Cash,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,Windows Server,,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2121,SQL CONTROLLING EU-2121,Europe,Europe,Poland,Material to Inventory,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,15,Low,,"Desktop
",N/A,Calculated from avg Bronze apps in region,1,6.72E-05,4
EU-2133,PRISM EU-2133,Europe,Europe,Greece,Plan to Cash,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,AS/400,OS/400,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2134,HERBST EU-2134,Europe,Europe,"United Kingdom, Ireland",Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2144,QPSMR EU-2144,Europe,Europe,"United Kingdom, Ireland",Product Lifecycle Management,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,5,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,2.24E-05,4
EU-2149,MODDE EU-2149,Europe,Europe,"United Kingdom, Ireland",Product Lifecycle Management,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,5,Low,,,N/A,Calculated from avg Bronze apps in region,1,2.24E-05,4
EU-2151,CATGLOBE EU-2151,Europe,Europe,Switzerland,Product Lifecycle Management,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,4,Low,,,N/A,Calculated from avg Bronze apps in region,1,1.79E-05,4
EU-2155,ADEST EU-2155,Europe,Europe,Ireland,Material to Inventory,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,"Desktop
",N/A,Calculated from avg Bronze apps in region,1,4.48E-05,4
EU-2156,DAISE EU-2156,Europe,Europe,"Ireland, United Kingdom",Product Lifecycle Management,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2159,ALIANZ GEA EU-2159,Europe,Europe,Poland,Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,4.48E-05,4
EU-2161,POLSYSTEM KD RCP EU-2161,Europe,Europe,Poland,Corporate Services,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,4,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,1.79E-05,4
EU-2163,TETA EU-2163,Europe,Europe,Poland,Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2320,I-GRASP EU-2320,Europe,Europe,"United Kingdom, Switzerland, Ireland",Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,AIX,Oracle 7.3.4,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2391,DOORS ACCESS CONTROL EU-2391,Europe,Europe,Greece,Corporate Services,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,3,Low,,,,Calculated from avg Bronze apps in region,1,1.34E-05,4
EU-2441,SPACEMAN EU-2441,Europe,Europe,Netherlands,Sell to Customer,Front Office,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2481,DMS EU-2481,Europe,Europe,Poland,Plan to Cash,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2487,STREAM SERVE EU-2487,Europe,Europe,"United Kingdom, Ireland",Plan to Cash,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2615,MP2 EU-2615,Europe,Europe,Poland,Material to Inventory,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,6,Low,,Windows Server,Microsoft SQL Server 2008 10.2.4000.0,Calculated from avg Bronze apps in region,1,2.69E-05,4
EU-2658,CONSUMERSCAN EU-2658,Europe,Europe,Hungary,Sell to Customer,Front Office,,Bronze,small,1,NA,NA,1,NA,1,,3,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,1.34E-05,4
EU-2661,FLEET MANAGEMENT EU-2661,Multi Region,"Europe, EEMEA","Hungary, Nigeria",Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,AIX,N/A,Calculated from avg Bronze apps in region,1,8.96E-06,7
EU-2678,SAFIR EU-2678,Europe,Europe,"Slovakia, Czech Republic",Sell to Customer,Front Office,,Bronze,small,1,NA,NA,1,NA,1,,20,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,8.96E-05,4
EU-2690,FORECAST TOOL EU-2690,Europe,Europe,Spain,Record to Report,Corporate Functions,KFE Iberia RTR Finance Appl Support,Silver,small,1,NA,NA,1,NA,1,,30,Low,,Unix ,Oracle 10.2.0.4,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000134342,5
EU-2702,ID WORKS EU-2702,Europe,Europe,"Netherlands, Belgium",Manage People,Corporate Functions,KFE Benelux HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,12,Low,,,N/A,Calculated from avg Bronze apps in region,1,5.37E-05,4
EU-2709,SCAN TIMER EU-2709,Europe,Europe,Greece,Manage People,Corporate Functions,KFE Greece HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2710,CENTAUR EU-2710,Europe,Europe,,Manage People,Corporate Functions,KFE Greece HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2711,JDA EU-2711,Europe,Europe,Belgium,Sell to Customer,Front Office,KFE Benelux STC Sales Appl Support,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-05,4
EU-2727,SIMATIC IT SPAIN EU-2727,Europe,Europe,Spain,Material to Inventory,Integrated Supply Chain,KFE Iberia MTI Appl Support,Gold,small,1,NA,NA,1,NA,1,,10,Low,,,,Tickets logged directly with Siemens on portal.  ,1,4.48E-05,6
EU-2791,MOBIL EU-2791,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,"Desktop
","Desktop - Windows 7
",Based on tickets asssigned to queue divided by no of apps in queue,1,4.48E-06,4
EU-2796,PRINTETIQ EU-2796,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France Plants Engineering Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,"Desktop
",Desktop - Windows 7,Based on Remedy 3 month data,1,4.48E-06,4
EU-2837,CONFIGEST EU-2837,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,"Desktop
",Excel 2010,Based on tickets asssigned to queue divided by no of apps in queue,1,4.48E-06,4
EU-2846,HRO EU-2846,Europe,Europe,Italy,Manage People,Corporate Functions,KFE Italy Manufacturing Appl Support,Bronze,small,1,NA,NA,1,NA,1,,5,Low,,,N/A,Calculated from avg Bronze apps in region,1,2.24E-05,4
EU-2847,NAVISION (NORWAY) EU-2847,Europe,Europe,Norway,Sell to Customer,Front Office,KFE Nordic STC Sales Appl Support,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2851,FIZZ EU-2851,Europe,Europe,France,Product Lifecycle Management,Integrated Supply Chain,KFE France Quality and R&D Appl Support,Bronze,small,1,NA,NA,1,NA,1,,5,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,2.24E-05,4
EU-2863,BALYO EU-2863,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France Plants Engineering Appl Support,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,8.96E-06,4
EU-2874,eDisplay Customization EU-2874,Europe,Europe,,Plan to Cash,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,,Calculated from avg Bronze apps in region,1,4.48E-06,4
EU-2882,T&A Tool (MS Access) EU-2882,Europe,Europe,Poland,Manage People,Corporate Functions,CEEMA Poland Applications,Bronze,small,1,NA,NA,1,NA,1,,2,Low,,"Desktop
",Desktop - Windows 7,Based on tickets asssigned to queue divided by no of apps in queue,1,8.96E-06,4
EU-2905,NexONBER EU-2905,Europe,Europe,Hungary,Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,3,Low,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,1.34E-05,4
EU-2909,RFR Meeting Room Reservation EU-2909,Europe,Europe,Germany,Corporate Services,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,Windows Server,Microsoft SQL Server 2008 10.0.5512.0,Calculated from avg Bronze apps in region,1,4.48E-05,4
EU-2910,Swiss+ letter of reference EU-2910,Europe,Europe,Switzerland,Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,0,Low,,Windows Server,Microsoft SQL Server 2008 10.0.5512.0,Calculated from avg Bronze apps in region,1,0,4
EU-2950,DATAGAIN EU-2950,Europe,Europe,France,Source to Pay,Integrated Supply Chain,KFE France STP Procurement Appl Support,Bronze,small,1,NA,NA,1,NA,1,,0,Low,,,,Calculated from avg Bronze apps in region,1,0,4
EU-2954,CAPE PACK EU-2954,Europe,Europe,"Slovenia, Croatia, Serbia",Product Lifecycle Management,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,1,Low,,,N/A,Based on local knowledge due to not being recorded in remedy,1,4.48E-06,4
EU-2955,CHRONOS EU-2955,Europe,Europe,Croatia,Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,4,Low,,,N/A,Calculated from avg Bronze apps in region,1,1.79E-05,4
EU-2956,MOJ ARHIV EU-2956,Europe,Europe,Slovenia,Record to Report,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,4,Low,,,N/A,Calculated from avg Bronze apps in region,1,1.79E-05,4
EU-2957,AB Soft EU-2957,Europe,Europe,Serbia,Manage People,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,6,Low,,Windows Server,Microsoft SQL Server 200810.1.2531.0,Calculated from avg Bronze apps in region,1,2.69E-05,4
EU-2961,MAS EU-2961,Europe,Europe,Spain,Plan to Cash,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,0,Low,,Windows Server,,Calculated from avg Bronze apps in region,1,0,4
EU-2971,OPAL Turkey EU-2971,EEMEA,EEMEA,Turkey,Record to Report,Corporate Functions,CEEMA Turkey Applications,Bronze,small,1,NA,NA,NA,NA,NA,1,16,Low,,Windows Server,MS SQL 2008Hosted by HP,,1,7.16E-05,2
EU-2991,"German Sales SQL-DB Apps (Kundenspieker, RES)  EU-2991",Europe,Europe,Germany,Sell to Customer,Front Office,,Bronze,small,1,NA,NA,1,NA,1,,30,Low,,,,Calculated from avg Bronze apps in region,1,0.000134342,4
EU-2992,German Sales SQL-DB Apps (Siebel-SQL-Reporting Instore Agenda)  EU-2992,Europe,Europe,Germany,Sell to Customer,Front Office,,Bronze,small,1,NA,NA,1,NA,1,,30,Low,,Unix ,,Calculated from avg Bronze apps in region,1,0.000134342,4
EU-3009,SIMATIC IT OSLO EU-3009,Europe,Europe,Norway,Material to Inventory,Integrated Supply Chain,KFE Nordic Manufacturing Appl Support,Silver,small,1,NA,NA,1,NA,1,,10,Low,,,,Tickets logged directly with Siemens on portal.  ,1,4.48E-05,5
EU-3018,ACL Analytics Desktop Edition EU-3018,Europe,Europe,France,Record to Report,Corporate Functions,KFE France RTR Finance Appl Support,Bronze,small,1,NA,NA,1,NA,1,,5,Low,,"Desktop
",Desktop - Windows 7,Calculated from avg Bronze apps in region,1,2.24E-05,4
EU-3028,DADSU v01X08 EU-3028,Europe,Europe,France,Manage People,Corporate Functions,KFE France HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,5,Low,,"Desktop
",Desktop - Windows 7,Based on tickets asssigned to queue divided by no of apps in queue,1,2.24E-05,4
EU-3029,AED v01X08 EU-3029,Europe,Europe,France,Manage People,Corporate Functions,KFE France HTR Appl Support,Bronze,small,1,NA,NA,1,NA,1,,5,Low,,"Desktop
",Desktop - Windows 7,Based on tickets asssigned to queue divided by no of apps in queue,1,2.24E-05,4
EU-3052,Customer Information EU-3052,Europe,Europe,Spain,Master Data,Enterprise Systems,,Bronze,small,1,NA,NA,1,NA,1,,4,Low,,"Desktop
", Access 2013 – Oracle 10.2.0.1.0,Calculated from avg Bronze apps in region,1,1.79E-05,4
EU-3055,SHOP application EU-3055,Europe,Europe,Germany,Corporate Services,Corporate Functions,,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,"Desktop
",,Calculated from avg Bronze apps in region,1,4.48E-05,4
EU-3119,Statistica EU-3119,Europe,Europe,"Ireland, United Kingdom",Product Lifecycle Management,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,1,,10,Low,,,,Calculated from avg Bronze apps in region,1,4.48E-05,4
NA-1584,NIST 08 NA-1584,Multi Region,"North America, EEMEA, Europe","Canada, United Kingdom, United States",Product Lifecycle Management,Integrated Supply Chain,,Bronze,small,1,NA,NA,1,NA,NA,,20,Low,,"Desktop
",Desktop - Windows 7,,1,8.96E-05,7
