Aris,App.Name,Region,Geographical.Region,Client.Countries,Bus.Area,Functional.Group,Remedy.Support.Queue,Service.entitlement,App.Size,Average.Monthly.Ticket.Volume.Incidents,Average.Monthly.Ticket.Volume..P1,Average.Monthly.Ticket.Volume.P2,Average.Monthly.Ticket.Volume.P3,Average.Monthly.Ticket.Volume.P4,Average.Monthly.Ticket.Volume.Problems,Average.Monthly.Ticket.Volume.CRs,Approx.Number.of.Users,Application.Complexity,Ease.of.Transition,Platform.OS.Type,Database.Type,Comments,Average.MOnthly.Ticket.Volume.Incidents,App.Score,groups
EU-1781,KTM EU-1781,Multi Region,"EEMEA, Europe",Slovakia,Source to Pay,Integrated Supply Chain,KFE Cross-functional Appl Support,Bronze,large,1,NA,NA,1,NA,1,,50,High,,Windows Server,N/A,Calculated from avg Bronze apps in region,1,0.000671709,7
EU-2122,EBI EU-2122,Europe,Europe,Portugal,Sell to Customer,Front Office,,Bronze,large,1,NA,NA,1,NA,1,,285,High,,,N/A,Calculated from avg Bronze apps in region,1,0.003828741,4
EU-2123,EBI EU-2123,Europe,Europe,Spain,Sell to Customer,Front Office,,Bronze,large,1,NA,NA,1,NA,1,,285,High,,,N/A,Calculated from avg Bronze apps in region,1,0.003828741,4
EU-2131,CATMAN STORE EU-2131,Europe,Europe,Switzerland,Sell to Customer,Front Office,,Bronze,large,1,NA,NA,1,NA,1,,32,High,,,N/A,Calculated from avg Bronze apps in region,1,0.000429894,4
EU-2195,ACTIWIN EU-2195,Europe,Europe,Switzerland,Sell to Customer,Front Office,,Bronze,large,1,NA,NA,1,NA,1,,1,High,,,N/A,Calculated from avg Bronze apps in region,1,1.34E-05,4
EU-2558,SEGEPAR (CESTAS) EU-2558,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Gold,large,1,NA,NA,1,NA,1,,3,High,,"Desktop
","Desktop - Windows 7
",Based on local knowledge due to not being recorded in remedy,1,4.03E-05,6
EU-2560,SEGEPAR (CHATEAU THIERRY) EU-2560,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Gold,large,1,NA,NA,1,NA,1,,4,High,,"Desktop
","Desktop - Windows 7
",Based on local knowledge due to not being recorded in remedy,1,5.37E-05,6
EU-2561,SEGEPAR (GRANVILLE) EU-2561,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Gold,large,1,NA,NA,1,NA,1,,4,High,,"Desktop
","Desktop - Windows 7
",Based on local knowledge due to not being recorded in remedy,1,5.37E-05,6
EU-2562,SEGEPAR (JUSSY) EU-2562,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Gold,large,1,NA,NA,1,NA,1,,4,High,,"Desktop
","Desktop - Windows 7
",Based on local knowledge due to not being recorded in remedy,1,5.37E-05,6
EU-2563,SEGEPAR (LHF) EU-2563,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Gold,large,1,NA,NA,1,NA,1,,4,High,,"Desktop
","Desktop - Windows 7
",Based on local knowledge due to not being recorded in remedy,1,5.37E-05,6
EU-2564,SEGEPAR (TOULOUSE) EU-2564,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Gold,large,1,NA,NA,1,NA,1,,4,High,,"Desktop
","Desktop - Windows 7
",Based on local knowledge due to not being recorded in remedy,1,5.37E-05,6
EU-2565,SEGEPAR (VERVINS) EU-2565,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Gold,large,1,NA,NA,1,NA,1,,4,High,,"Desktop
","Desktop - Windows 7
",Based on Remedy 3 month data,1,5.37E-05,6
EU-2728,SEGEPAR (ATC) EU-2728,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Gold,large,1,NA,NA,1,NA,1,,4,High,,"Desktop
","Desktop - Windows 7
",Based on local knowledge due to not being recorded in remedy,1,5.37E-05,6
AP-457,MARKETING ROLLING SALES AP-457,Asia Pacific,Asia Pacific,Thailand,Plan to Cash,Integrated Supply Chain,AP Thailand Application On-site,Bronze,large,2,NA,NA,1,1,NA,,3,High,,,,,2,8.06E-05,1
AP-480,MYAPPS AP-480,Asia Pacific,Asia Pacific,Australia,Core Business Processes,Enterprise Systems,AP Australia Appl Support,Bronze,large,2,NA,NA,1,1,NA,,1,High,,Sharepoint,Sharepoint server 2008,,2,2.69E-05,1
AP-699,KRONOS WORKFORCE CENTRAL V6.2 AP-699,Asia Pacific,Asia Pacific,"New Zealand, Australia",Manage People,,AP Australia Appl Support,Silver,large,2,NA,NA,NA,2,NA,,300,High,,"Desktop
",Microsoft SQL,,2,0.008060508,8
EU-1171,SCHEDE CLIENTI EU-1171,Europe,Europe,Italy,Sell to Customer,Front Office,KFE Italy STC Sales Appl Support,Bronze,large,2,NA,NA,2,NA,2,,52,High,,AIX,Oracle 10.1 or older 9.2.06,Based on tickets asssigned to queue divided by no of apps in queue,2,0.001397155,4
EU-1231,CRANE-BOX EU-1231,Europe,Europe,Sweden,Plan to Cash,Integrated Supply Chain,KFE Nordic PTC Supply Chain Appl Support,Gold,large,2,NA,NA,2,NA,2,,10,High,,Windows Server,N/A,Calculated from Avg of Gold apps in region,2,0.000268684,6
EU-1302,KINC EU-1302,Europe,Europe,Italy,Sell to Customer,Front Office,KFE Italy STC Sales Appl Support,Bronze,large,2,NA,NA,2,NA,2,,5,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,2,0.000134342,4
EU-1379,SALES PLAN EU-1379,Europe,Europe,Italy,Sell to Customer,Front Office,KFE Italy STC Sales Appl Support,Bronze,large,2,NA,NA,2,NA,2,,250,High,,Windows Server,Microsoft SQL Server 20059.00.5057.00,Based on tickets asssigned to queue divided by no of apps in queue,2,0.00671709,4
EU-1399,SIRIO INVENTORY EU-1399,Europe,Europe,Italy,Plan to Cash,Integrated Supply Chain,KFE Italy STC Sales Appl Support,Silver,large,2,NA,NA,2,NA,2,,25,High,,,,Based on tickets asssigned to queue divided by no of apps in queue,2,0.000671709,5
EU-1401,SIRIO PPD EU-1401,Europe,Europe,Italy,Sell to Customer,Front Office,KFE Italy STC Sales Appl Support,Silver,large,2,NA,NA,2,NA,2,,300,High,,,,Based on tickets asssigned to queue divided by no of apps in queue,2,0.008060508,5
EU-1404,SIRIO YEB EU-1404,Europe,Europe,Italy,Sell to Customer,Front Office,KFE Italy STC Sales Appl Support,Silver,large,2,NA,NA,2,NA,2,,60,High,,,,Based on tickets asssigned to queue divided by no of apps in queue,2,0.001612102,5
EU-1415,TRADE DEALS WORKFLOW EU-1415,Europe,Europe,Italy,Sell to Customer,Front Office,KFE Italy STC Sales Appl Support,Silver,large,2,NA,NA,2,NA,2,,400,High,,AIX,Oracle 9.2.06,Based on tickets asssigned to queue divided by no of apps in queue,2,0.010747343,5
EU-1652,QUOFORE EU-1652,Europe,Europe,Switzerland,Sell to Customer,Front Office,KFE Switzerland STC O4 QUOFORE Appl Support,Silver,large,2,NA,NA,2,NA,2,,40,High,,,N/A,Based on Remedy 3 month data,2,0.001074734,5
EU-1703,LOCAL EDI EU-1703,Europe,Europe,Belgium,Plan to Cash,Integrated Supply Chain,KFE Benelux PTC Appl Support,Gold,large,2,NA,NA,2,NA,2,,50,High,,,N/A,Calculated from Avg of Gold apps in region,2,0.001343418,6
EU-1712,REFLEX MP/MC/PF EU-1712,Europe,Europe,Belgium,Plan to Cash,Integrated Supply Chain,,Gold,large,2,NA,NA,2,NA,2,,80,High,,,N/A,Calculated from Avg of Gold apps in region,2,0.002149469,6
EU-1722,OCS-XDOCK EU-1722,Europe,Europe,France,Plan to Cash,Integrated Supply Chain,KFE France PTC Supply Chain Appl Support,Silver,large,2,NA,NA,2,NA,2,,10,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,2,0.000268684,5
EU-2712,KASS EU-2712,Europe,Europe,Spain,Sell to Customer,Front Office,KFE Iberia STC Sales Appl Support,Silver,large,2,NA,NA,2,NA,2,,140,High,,Unix ,Oracle 10.2.0.4,Based on tickets asssigned to queue divided by no of apps in queue,2,0.00376157,5
EU-2713,KPP EU-2713,Europe,Europe,Spain,Sell to Customer,Front Office,KFE Iberia STC Sales Appl Support,Silver,large,2,NA,NA,2,NA,2,,30,High,,Unix ,Oracle 10.2.0.4,Based on tickets asssigned to queue divided by no of apps in queue,2,0.000806051,5
EU-2714,RAPPEL EU-2714,Europe,Europe,Spain,Sell to Customer,Front Office,KFE Iberia STC Sales Appl Support,Silver,large,2,NA,NA,2,NA,2,,1,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,2,2.69E-05,5
EU-2715,DSS EU-2715,Europe,Europe,"Spain, Portugal",Sell to Customer,Front Office,KFE Iberia STC Sales Appl Support,Silver,large,2,NA,NA,2,NA,2,,400,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,2,0.010747343,5
NA-760,CTA NA-760,Multi Region,"Asia Pacific, Europe","Viet Nam, Switzerland",Source to Pay,Integrated Supply Chain,KFE STP CTA Commodity Trading & Administration Appl Support,Silver,large,2,NA,NA,2,NA,NA,,100,High,,"Desktop
",Desktop - Windows 7,,2,0.002686836,5
EU-2577,DEMONSTRATIVE TOOL EU-2577,EEMEA,EEMEA,Russian Federation,Integrated Business Planning,Integrated Supply Chain,CEEMA Russia Service Desk,Bronze,large,2.25,0.25,NA,2,NA,NA,,15,High,,"Desktop
",Desktop - Windows 7,,2.25,0.000453404,2
AP-187,HR 21 AP-187,Asia Pacific,Asia Pacific,Australia,Manage People,,AP Australia Appl Support,Bronze,large,2.5,NA,NA,NA,2.5,NA,0.2,1200,High,,"Desktop
",Desktop - Windows 7,,2.5,0.040302538,1
AP-703,FOFGEN.NET AP-703,Asia Pacific,Asia Pacific,Australia,Plan to Cash,Integrated Supply Chain,AP Australia Appl Support,Silver,large,3,NA,NA,3,NA,2,,5,High,,0,NA,,3,0.000201513,8
EU-1160,PRINTING SERVICE EU-1160,Europe,Europe,Belgium,Material to Inventory,Integrated Supply Chain,KFE Benelux MTI Appl Support,Silver,large,3,NA,NA,3,NA,3,,1,High,,Windows Server,N/A,Based on local knowledge,3,4.03E-05,5
EU-1295,INTRACK EU-1295,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France Plants Engineering Appl Support,Silver,large,3,NA,NA,3,NA,3,,40,High,,Windows Server,N/A,Calculated from Avg of Silver apps in region,3,0.001612102,5
EU-1322,PRINTING SERVICE EU-1322,Europe,Europe,Belgium,Material to Inventory,Integrated Supply Chain,KFE Benelux MTI Appl Support,Silver,large,3,NA,NA,3,NA,3,,10,High,,Windows Server,N/A,Based on local knowledge,3,0.000403025,5
EU-1346,PALA EU-1346,Europe,Europe,Germany,Material to Inventory,Integrated Supply Chain,KFE Germany Manufacturing Appl Support,Silver,large,3,NA,NA,3,NA,3,,30,High,,Unix ,N/A,Calculated from Avg of Silver apps in region,3,0.001209076,5
EU-1513,PRINTING SERVICE EU-1513,Europe,Europe,Belgium,Material to Inventory,Integrated Supply Chain,KFE Benelux MTI Appl Support,Silver,large,3,NA,NA,3,NA,3,,1,High,,Windows Server,N/A,Based on local knowledge,3,4.03E-05,5
EU-1678,QLIKVIEW EU-1678,Europe,Europe,Italy,Material to Inventory,Integrated Supply Chain,KFE Italy Manufacturing Appl Support,Silver,large,3,NA,NA,3,NA,3,,20,High,,,N/A,Calculated from Avg of Silver apps in region,3,0.000806051,5
