,,,,,,,,,
,,,,Monthly Ticket Volume,,,Averages,,
App Groups,Bronze,Silver,Gold,Bronze-Vol,Silver-Vol,Gold-Vol,Bronze-Vol,Silver-Vol,Gold-Vol
1,15,1,2,60.1,2,0,4.0,2.0,0.0
2,35,0,0,332.65,0,0,9.5,-1.0,-1.0
3,0,0,7,0,0,2,-1.0,-1.0,0.3
4,204,0,0,370,0,0,1.8,-1.0,-1.0
5,0,130,0,0,0,0,-1.0,0.0,-1.0
6,0,0,23,0,0,0.2,-1.0,-1.0,0.0
7,12,2,0,30,0,0,2.5,0.0,-1.0
8,0,15,0,0,1,0,-1.0,0.1,-1.0
9,0,0,7,0,0,5,-1.0,-1.0,0.7
10,0,21,0,0,12,0,-1.0,0.6,-1.0
,266,169,39,,,,,,
